Spice ID                    GM [au^3/day^2]             x [au]                      y [au]                      z [au]                      vx [au/day]                 vy [au/day]                 vz [au/day]                 
10                          +2.9591220828559109E-04     +4.5025087846405545E-03     +7.6707642709100709E-04     +2.6605791776697764E-04     -3.5174953607552323E-07     +5.1776264098334065E-06     +2.2291021789120296E-06     
199                         +4.9124804503647600E-11     +3.6176271656028197E-01     -9.0781972156766005E-02     -8.5714972562751165E-02     +3.3674939720057607E-03     +2.4894520557683434E-02     +1.2946300409704091E-02     
299                         +7.2434523326441197E-10     +6.1275194083507212E-01     -3.4836536903362220E-01     -1.9527828667594380E-01     +1.0952068423528236E-02     +1.5617684267867679E-02     +6.3311057029778652E-03     
399                         +8.8876924451256342E-10     +1.2052723392839890E-01     -9.2581423884942249E-01     -4.0152701557629800E-01     +1.6803964778078287E-02     +1.7503437910179641E-03     +7.5924252739253820E-04     
301                         +1.0931894507423740E-11     +1.1971905657692072E-01     -9.2780886883491942E-01     -4.0261427825936869E-01     +1.7405049593692511E-02     +1.5828983218603139E-03     +6.7368038599158935E-04     
4                           +9.5495486955507705E-11     -1.1018607714879823E-01     -1.3275994503029831E+00     -6.0588914048429143E-01     +1.4481653057047565E-02     +2.4246307683646837E-04     -2.8152072792433881E-04     
5                           +2.8253458408338699E-07     -5.3797067685539375E+00     -8.3048132656339779E-01     -2.2482887442656546E-01     +1.0920125942373378E-03     -6.5181166128073830E-03     -2.8207827622986786E-03     
6                           +8.4597060732450306E-08     +7.8943906829095312E+00     +4.5964780551712732E+00     +1.5586958428319002E+00     -3.2175565165009157E-03     +4.3358103417466248E-03     +1.9286463168601555E-03     
7                           +1.2920248257829600E-08     -1.8265402253872359E+01     -1.1619554186758700E+00     -2.5010605772133804E-01     +2.2119039101561473E-04     -3.7624750081088438E-03     -1.6510150274299501E-03     
8                           +1.5243573478851101E-08     -1.6055035780233368E+01     -2.3942191559854709E+01     -9.4001579688023948E+00     +2.6427698479800552E-03     -1.4983125505409777E-03     -6.7904196080291338E-04     
9                           +2.1784410519741800E-12     -3.0483313767183841E+01     -8.7240555684104992E-01     +8.9115761724995508E+00     +3.2220737349778075E-04     -3.1435763936453289E-03     -1.0779497595973131E-03     
2000001                     +1.4004765561723440E-13     +1.4431843184611104E+00     -2.2036065567623160E+00     -1.3261317954435590E+00     +8.4650543867802411E-03     +4.6894256037454413E-03     +4.6838684077465069E-04     
2000004                     +3.8547501878088103E-14     +1.8687434516205764E-01     +2.3873952877047451E+00     +9.2486212075403240E-01     -1.0174848496655332E-02     +4.6655816939785886E-05     +1.3463867363345361E-03     
2000002                     +3.1044481989387133E-14     +2.0833478124693103E-01     -3.2088523596352161E+00     +6.2410923699716037E-01     +8.5339621061151748E-03     -8.5548158371332762E-04     -3.9067289039383435E-04     
2000010                     +1.2358007872941250E-14     +2.4487600785394159E+00     +2.1813587261531189E+00     +1.1631211404487209E+00     -5.9248576691064312E-03     +5.9848640681458721E-03     +2.2886677131044413E-03     
2000031                     +6.3432804736486023E-15     -2.3400696873670692E+00     -2.2014811701563919E+00     -1.4991058665306616E+00     +4.9288748840548560E-03     -3.8897768600842397E-03     -5.7755078904812868E-03     
2000704                     +5.2561686784936620E-15     +2.4673377410487554E+00     -1.1428104516214455E-01     +7.8448534670584724E-01     -1.3099205551728977E-03     +1.0354164818839095E-02     +4.8147519912343064E-03     
2000511                     +5.1981269794574977E-15     -2.1556890527889339E+00     +1.4871301851877401E+00     +1.0972251551650969E+00     -7.3910476700153310E-03     -7.7738458784136679E-03     -4.8331167938616397E-04     
2000015                     +4.6783074183509050E-15     -1.4338951527617145E+00     +2.0020547155989323E+00     +7.6752332748386198E-01     -9.7360177641187436E-03     -2.9763571919562415E-03     -3.6918517698069022E-03     
2000003                     +3.6175383171479368E-15     +4.6570976845507267E-01     -3.0053318833536991E+00     -5.7989799137917519E-01     +8.3951065487490994E-03     +3.1170856719810410E-03     +2.7528877807216052E-04     
2000016                     +3.4115868261938121E-15     +1.4635717779974462E+00     -2.1935198846300725E+00     -8.7177936280262203E-01     +8.1935152213459938E-03     +6.3340753630282895E-03     +2.1692983086272944E-03     
2000065                     +3.1806592826525409E-15     -2.8143156776964697E+00     -1.4520188925522923E+00     -4.5928160203503099E-01     +5.4908608666016543E-03     -7.7045875599899274E-03     -2.9786788654769013E-03     
2000088                     +2.5771141273110471E-15     +3.5553748633041166E-01     +2.7268013870554837E+00     +1.2560877886558863E+00     -9.0863506959338158E-03     +2.5095431193506977E-03     +2.1936583729907129E-04     
2000048                     +2.5310917260150679E-15     -1.6156906557210311E+00     +2.3891137048964790E+00     +7.1158815766649197E-01     -8.7621465175587547E-03     -4.9697118052303658E-03     -1.5927774881183759E-03     
2000052                     +2.4767881012558671E-15     +1.6350069009082568E+00     -2.8066241991404990E+00     -1.1198454966815630E+00     +7.5455502130317067E-03     +4.3908059012145138E-03     +6.8328697831199887E-04     
2000451                     +2.2955593906374618E-15     +1.2635108127948620E+00     +2.4548083440223651E+00     +6.9074881278851852E-01     -9.0638952495967848E-03     +3.4532232926711703E-03     +4.1856495932951574E-03     
2000087                     +2.1992951735740729E-15     -3.6558603904764322E+00     -8.8475980653205377E-01     +3.1243424524101970E-01     +1.8173957153100185E-03     -7.2562934885221511E-03     -3.9805417403755115E-03     
2000007                     +2.1364344425714072E-15     +1.8969777765749409E+00     -8.4764767164804888E-01     -1.5689326112669760E-01     +2.7865985650345568E-03     +1.1319235011326881E-02     +4.9773616792585769E-03     
2000423                     +2.1124383605999520E-15     -1.8316275040573897E+00     -2.2315145515525909E+00     -7.6556326923301987E-01     +7.8405866925655068E-03     -4.7919338678956286E-03     -4.1201560588828264E-03     
2000029                     +1.9758423651245199E-15     -1.4248576479910233E-01     -2.3620298174562429E+00     -1.3398424062921244E+00     +1.0080376742556222E-02     -1.8701920090618068E-04     -3.7344304506432229E-05     
2000024                     +1.8939016675253820E-15     -1.9818243783954888E+00     +1.7138471167594103E+00     +7.8244329986232886E-01     -7.3768934079922951E-03     -7.5102182324179104E-03     -3.2893633286853363E-03     
2000013                     +1.7970048945074460E-15     +1.1149725444198375E+00     -1.9561165544825980E+00     -1.6694631190222291E+00     +8.8501327613372538E-03     +4.1733990866546222E-03     +7.9571838158160589E-04     
2000790                     +1.7558991833247000E-15     -3.3081581993118396E+00     +1.6060097488220432E-01     -1.1801275952957568E+00     +1.7999317559962813E-03     -8.6012843573919986E-03     -1.9697548128922442E-03     
2000372                     +1.7459557262705000E-15     -2.4967429707412805E+00     -1.4725895196361583E+00     -2.1860823841997927E+00     +4.4137578943226072E-03     -5.6893204619747244E-03     -4.1253448326208746E-03     
2000107                     +1.6717209917006440E-15     -2.8099798473647306E+00     -2.1248488239106589E+00     -4.6604915161773847E-01     +5.0159702415704579E-03     -7.2781031287688404E-03     -1.8316231082594751E-03     
2000354                     +1.5850986571596891E-15     -3.9609579394916067E-01     -2.8447289812783612E+00     -3.6295710928554115E-01     +9.4113099210835979E-03     -2.1643208201863901E-03     -2.2687453864771627E-03     
2000096                     +1.5465676956243251E-15     -2.1837527988842811E+00     +1.3825401275547176E+00     +5.5406605371715356E-01     -5.5769019002027149E-03     -7.2719351533355155E-03     -6.5189108717924119E-03     
2000386                     +1.5079333711965190E-15     -1.5369401281422350E+00     -2.8879248587029793E+00     -6.5812547360792964E-02     +8.2015010506760362E-03     -3.2427879791910889E-03     -8.2415091124244592E-04     
2000039                     +1.4975196825567009E-15     +2.3406964608111784E+00     +7.5976787294136616E-01     +2.2442663727290577E-02     -3.2580512632219660E-03     +1.0736827931566929E-02     +2.8747485793768693E-03     
2000324                     +1.3886265898561990E-15     +1.4032615730081821E+00     -1.2867096525812340E+00     -6.6883237074306678E-01     +7.1640114950202536E-03     +9.2251364040280507E-03     +6.8600908295864188E-03     
2000011                     +1.3315362554599750E-15     -1.2274309858290682E+00     -1.9408171425977738E+00     -6.4838607796969028E-01     +1.0146378188906390E-02     -4.3054007575318489E-03     -2.3400876838485405E-03     
