Spice ID                    GM [au^3/day^2]             x [au]                      y [au]                      z [au]                      vx [au/day]                 vy [au/day]                 vz [au/day]
10                          +2.9591220828559109E-04     -7.1364551999907426E-03     -2.6470233282205029E-03     -9.2294847095861557E-04     +5.3784592957185733E-06     -6.7581859996490920E-06     -3.0328494876565658E-06
199                         +4.9124804503647600E-11     -1.3723006082208306E-01     -4.0324074455133690E-01     -2.0141225082211953E-01     +2.1371774140609891E-02     -4.9330579272847171E-03     -4.8504658610224799E-03
299                         +7.2434523326441197E-10     -7.2543875152346327E-01     -4.8921270399804061E-02     +2.3717689928343229E-02     +8.0349598584486808E-04     -1.8498595670840823E-02     -8.3727681782353840E-03
399                         +8.8876924451256342E-10     -1.8427155500339445E-01     +8.8478149910723403E-01     +3.8381995014030018E-01     -1.7202246607562525E-02     -2.9049259136469858E-03     -1.2594279020399295E-03
301                         +1.0931894507423740E-11     -1.8622083665707945E-01     +8.8299860719705603E-01     +3.8331123644228166E-01     -1.6830576131430384E-02     -3.2896237419243733E-03     -1.4334580587707952E-03
4                           +9.5495486955507705E-11     +1.3835794665468741E+00     -1.2458049136983484E-03     -3.7883115552126145E-02     +6.7687797190540890E-04     +1.3807279333238333E-02     +6.3148675769914599E-03
5                           +2.8253458408338699E-07     +3.9940406721884729E+00     +2.7339318349730535E+00     +1.0745891316880551E+00     -4.5629351249463846E-03     +5.8747039711595913E-03     +2.6292699854468709E-03
6                           +8.4597060732450306E-08     +6.3992724019779601E+00     +6.1720107734681076E+00     +2.2738478333021601E+00     -4.2869734170880086E-03     +3.5215863786401598E-03     +1.6388986695893713E-03
7                           +1.2920248257829600E-08     +1.4424720184230882E+01     -1.2508914106474071E+01     -5.6826124583005928E+00     +2.6834839791881546E-03     +2.4552459318671919E-03     +1.0373766885329906E-03
8                           +1.5243573478851101E-08     +1.6804909573443631E+01     -2.2982747693888069E+01     -9.8253501877447196E+00     +2.5846524662338365E-03     +1.6616670785582742E-03     +6.1578247114325196E-04
9                           +2.1784410519741800E-12     -9.8824901659219826E+00     -2.7981516546831006E+01     -5.7546134904214483E+00     +3.0341292593250645E-03     -1.1343520284510438E-03     -1.2681626835987880E-03
2000001                     +1.4004765561723440E-13     -2.3864641275465752E+00     +5.4302408611461783E-01     +7.4030239240437168E-01     -3.5788503395260819E-03     -9.8519756855106905E-03     -3.9075766297932621E-03
2000004                     +3.8547501878088103E-14     -1.3607166739514140E+00     -1.6232031338463375E+00     -4.6928988744057559E-01     +9.6301834847816823E-03     -6.4224556465786479E-03     -3.8153378225354966E-03
2000002                     +3.1044481989387133E-14     -8.4827394569654313E-01     +1.9417982758309000E+00     -3.2837707391391091E-01     -1.1732158609106385E-02     -5.3070924284223005E-03     +1.8597889126207620E-03
2000010                     +1.2358007872941250E-14     -2.3811991566200357E+00     -1.2745754165799947E+00     -7.4656434316264431E-01     +6.1151031445619130E-03     -8.3197402361636034E-03     -3.3272843743896311E-03
2000031                     +6.3432804736486023E-15     +2.9844345783358732E+00     +6.1632398776140587E-02     -9.6059581680416750E-01     -1.9597690746070545E-04     +6.6562080812519299E-03     +7.0570833292999671E-03
2000704                     +5.2561686784936620E-15     -1.3638895511522735E+00     -2.4928816128708919E+00     -1.7205009701401000E+00     +8.2165224980120053E-03     -3.6845745782812093E-03     +9.5768999587400713E-04
2000511                     +5.1981269794574977E-15     -2.6309557460547434E-01     -3.5729051087448291E+00     -1.1194942256581701E+00     +7.7325218563733733E-03     +7.7089343402658557E-05     -2.1827680408482045E-03
2000015                     +4.6783074183509050E-15     -2.5945354133990097E+00     +1.2233771447497876E+00     +9.8176471830037984E-02     -5.1701202020092863E-03     -6.7516379906364049E-03     -4.7327222832147424E-03
2000003                     +3.6175383171479368E-15     +3.7704118551829974E-01     -3.0424445896410077E+00     -5.8785651154202101E-01     +8.4168386092889780E-03     +2.8219807271804235E-03     +2.0115311417619894E-04
2000016                     +3.4115868261938121E-15     +2.4955467093449095E+00     -4.9896667808942202E-01     -2.6014888536807901E-01     +1.7362681235293623E-03     +1.0525441030061889E-02     +3.9374258425030253E-03
2000065                     +3.1806592826525409E-15     -2.6028960767352993E+00     +2.3419929062375222E+00     +9.3189246814810900E-01     -5.5379593952087783E-03     -6.4588385081732116E-03     -2.2275150009394796E-03
2000088                     +2.5771141273110471E-15     +5.9375827820829163E-01     -2.1060498999967407E+00     -8.8068000050409267E-01     +1.1341577928991563E-02     +3.0561173899285878E-03     +2.4915302797990048E-03
2000048                     +2.5310917260150679E-15     +2.1597606334706185E+00     -2.3293954187744439E+00     -6.9026175946878576E-01     +6.5852320566030971E-03     +6.2810956093372209E-03     +1.9622559609977813E-03
2000052                     +2.4767881012558671E-15     -2.7498759697627504E+00     +7.1325776748310910E-01     +5.3547132272492914E-01     -3.7917135766726549E-03     -9.3658461216719058E-03     -2.7675746376078373E-03
2000451                     +2.2955593906374618E-15     +1.7165227339744615E+00     -2.2383264433707919E+00     -1.4891976648620275E+00     +7.2064051687248127E-03     +6.0445056366237810E-03     +4.9884048066661812E-04
2000087                     +2.1992951735740729E-15     -1.9571571794356785E-02     +3.1802047684575263E+00     +1.5945476420949496E+00     -8.8422662325914857E-03     -1.3987449839986815E-04     +1.7458532176931084E-03
2000007                     +2.1364344425714072E-15     -1.1779881558836764E+00     +1.7104285260969165E+00     +5.8682519518058396E-01     -1.1398735179793233E-02     -3.6344659060287281E-03     -2.6778505631379246E-03
2000423                     +2.1124383605999520E-15     -1.3022100514130830E+00     +2.4601694510250249E+00     +1.5470047987045650E+00     -8.4105312878447209E-03     -4.2836940887356545E-03     -4.5907600739207691E-04
2000029                     +1.9758423651245199E-15     +2.1616148056638951E-01     +2.0636858415754480E+00     +1.1712689818422635E+00     -1.1403763834742285E-02     +1.2611045479939251E-03     +6.3172545535039029E-04
2000024                     +1.8939016675253820E-15     +2.8693998466326298E+00     -1.8866705671206159E+00     -8.6656486024171508E-01     +4.9924961720786264E-03     +6.2940169315341072E-03     +2.7667639719519033E-03
2000013                     +1.7970048945074460E-15     +1.1864447888909679E+00     +1.8745901441698674E+00     +1.0520807171994253E+00     -9.9164206264210006E-03     +2.7642006544859148E-03     +4.4145739898074753E-03
2000790                     +1.7558991833247000E-15     -2.7866428528439471E+00     +2.6416091579523355E+00     -2.2725603760196617E-01     -4.4519822564896240E-03     -5.9539831775943545E-03     -3.4618942490989863E-03
2000372                     +1.7459557262705000E-15     +2.8880583071717623E+00     -1.1950430659804663E+00     -2.5427812195366872E-01     +6.5378704101852687E-04     +6.8695663810699574E-03     +6.8165048272491114E-03
2000107                     +1.6717209917006440E-15     -1.2700773250681160E-01     +3.1352207319916960E+00     +7.5262450877346354E-01     -9.8697939115794785E-03     -7.6582270489945878E-04     +2.5795346008780854E-05
2000354                     +1.5850986571596891E-15     +1.1743507278413658E+00     +2.4587282141301836E+00     +1.4642532720752355E-01     -9.6932092069577647E-03     +3.2116104382236880E-03     +2.5179660214429802E-03
2000096                     +1.5465676956243251E-15     +2.4218980591465535E+00     +1.4906904662570128E+00     +1.6038657026299026E+00     -6.6826861277915432E-03     +5.6634539726458221E-03     +2.7153544963711708E-03
2000386                     +1.5079333711965190E-15     +1.4993430558208529E+00     -2.3153412307027228E+00     -2.6687023003292981E-01     +7.7445639167731759E-03     +7.1557775351042312E-03     -1.4650721374864119E-04
2000039                     +1.4975196825567009E-15     -1.9349361144180310E+00     -2.2329254772342484E+00     -4.1272854713685547E-01     +7.7741450062451100E-03     -5.3126329528975615E-03     -1.8708623365239262E-03
2000324                     +1.3886265898561990E-15     +5.2842898877336053E-01     -1.9741593983907937E+00     -1.2109033543471170E+00     +9.9795476837272711E-03     +4.6472678862953922E-03     +4.2220272995951765E-03
2000011                     +1.3315362554599750E-15     -1.9335258059125953E+00     -1.4985990453517204E+00     -4.3227477016469235E-01     +7.6068395178883214E-03     -7.0909599961233305E-03     -3.2190150679718009E-03
2000094                     +1.2792300000000001E-15     -2.6790099767438362E+00     -1.8131335958126795E+00     -1.0847994137984436E+00     +5.3220592252941580E-03     -6.1427178003588406E-03     -3.7932502175290401E-03
2000022                     +1.2026244434834601E-15     +9.4595764819826522E-01     -2.4712890957267732E+00     -1.6142189745026330E+00     +8.5041682818963113E-03     +4.1125563943120117E-03     +1.2040212935651551E-04
2000120                     +1.1889849499520080E-15     +7.6358240292028715E-02     -2.5974550215853869E+00     -1.4978465139051478E+00     +1.0119232527494797E-02     -3.9355827260283057E-04     +2.2067643214942640E-04
